order_number,date,price,quantity,product_id,SKU
6366,24/08/2024,49.90,1,7414746611786,GHO-171-M
6367,24/08/2024,269.00,1,7505104011338,SHO-449-P
6367,24/08/2024,269.00,1,7378796511306,TOP-151-P
6367,24/08/2024,219.00,1,7420467019850,TAN-371-P
6368,24/08/2024,329.00,1,6946026848330,LEG270
6368,24/08/2024,269.00,1,6946027176010,TOP266
6369,24/08/2024,329.00,1,6946026618954,LEG254
6369,24/08/2024,269.00,1,6946026979402,TOP250
6370,24/08/2024,269.00,1,7208084602954,SHO-SIG-OFF-M
6370,24/08/2024,269.00,1,7001211666506,sho-sig-pre-m
6370,24/08/2024,349.95,1,7588871995466,MOL-476-P
6370,24/08/2024,349.95,1,7588870619210,THE-472-M
6371,24/08/2024,269.00,1,7505104175178,SHO-450-M
6371,24/08/2024,269.00,1,7045804261450,sho-out-pre-p
6371,24/08/2024,279.00,1,7495529627722,TOP-424-M
6371,24/08/2024,279.00,1,7495529726026,TOP-425-M
6371,24/08/2024,279.00,1,7495530446922,SHO-430-M
6372,24/08/2024,279.90,1,6687222628426,LEG-HAR-BLU-M
6372,24/08/2024,329.00,1,7378794774602,LEG-149-M
6372,24/08/2024,49.90,2,7414746611786,GHO-171-M
6372,24/08/2024,249.90,1,7420467970122,LON-375-G
6373,24/08/2024,279.00,1,7495529726026,TOP-425-M
6374,24/08/2024,329.00,1,6967004987466,LEG286
6374,24/08/2024,589.00,1,7722647748682,JAC-480-G
6375,24/08/2024,269.00,1,7001211273290,sho-sig-cel-g
6375,24/08/2024,269.00,1,7001211863114,top-sig-cel-m
6375,24/08/2024,219.00,1,7420467019850,TAN-371-P
6376,24/08/2024,329.00,1,6710315614282,LEG-PUR-JUN-M
6377,24/08/2024,329.00,1,6946026618954,LEG256
6377,24/08/2024,329.00,1,7459360309322,LEG-389-G
6377,24/08/2024,329.00,1,7396016390218,LEG-157-G
6377,24/08/2024,269.00,1,6687221841994,TOP-PUR-PRE-G
6377,24/08/2024,289.00,1,7338890494026,SHO-148-G
6378,25/08/2024,269.00,1,7045804261450,sho-out-pre-g
6378,25/08/2024,269.00,1,7045792432202,sho-out-jun-g
6379,25/08/2024,289.00,1,7338890494026,SHO-148-P
6379,25/08/2024,269.00,1,7495530610762,SHO-432-M
6380,25/08/2024,329.00,1,7378794774602,LEG-149-M
6380,25/08/2024,269.00,1,7378796511306,TOP-151-M
6381,25/08/2024,329.00,1,7378794774602,LEG-149-M
6381,25/08/2024,329.00,1,6856164409418,LEG135
6382,25/08/2024,329.00,1,7378794774602,LEG-149-M
6382,25/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-M
6383,25/08/2024,329.00,1,7055136030794,leg-pur-oce-g
6383,25/08/2024,269.00,1,7055137275978,top-pur-oce-m
6384,25/08/2024,269.00,1,7001212026954,top-sig-jun-m
6384,25/08/2024,329.00,1,6710315614282,LEG-PUR-JUN-M
6384,25/08/2024,269.00,1,6710315647050,TOP-PUR-JUN-P
6385,25/08/2024,269.00,1,6946026913866,TOP259
6385,25/08/2024,329.00,1,6945991655498,LEG263
6385,25/08/2024,269.00,1,6856167948362,TOP139
6385,25/08/2024,329.00,1,6856164671562,LEG143
6385,25/08/2024,269.00,1,6856168243274,TOP147
6385,25/08/2024,329.00,1,6856165195850,LEG151
6385,25/08/2024,329.00,1,6892867682378,LEG185
6385,25/08/2024,269.00,1,6892867813450,TOP189
6385,25/08/2024,269.00,1,7459360440394,TOP-390-M
6385,25/08/2024,329.00,1,7459360309322,LEG-389-G
6385,25/08/2024,589.00,1,7722647289930,JAC-479-P
6386,26/08/2024,329.00,1,7497519300682,LEG-440-G
6386,26/08/2024,269.00,1,7497520152650,TOP-442-G
6393,27/08/2024,329.00,1,7497519497290,LEG-441-M
6393,27/08/2024,269.00,1,7497520414794,TOP-443-M
6393,27/08/2024,239.00,1,7420470100042,SOH-380-G
6393,27/08/2024,49.90,1,7414746873930,GHO-172-M
6393,27/08/2024,49.90,1,7414746611786,GHO-171-M
6394,27/08/2024,229.00,1,7420468428874,BAB-378-P
6394,27/08/2024,49.90,1,7414746873930,GHO-172-M
6394,27/08/2024,49.90,1,7414746611786,GHO-171-M
6395,27/08/2024,329.00,1,6856164409418,LEG134
6395,27/08/2024,49.90,2,7414746906698,GHO-173-P
6396,27/08/2024,329.00,1,7497515958346,LEG-435-G
6396,27/08/2024,269.00,1,7497517465674,TOP-438-G
6397,27/08/2024,269.00,1,6946027143242,TOP243
6397,27/08/2024,289.00,1,7588861083722,SKI-457-M
6397,27/08/2024,389.90,1,7420470952010,CAM-383-U
6398,27/08/2024,269.00,1,7001211961418,top-sig-flo-p
6399,27/08/2024,329.00,1,7378795659338,LEG-150-G
6400,28/08/2024,329.00,1,6946026782794,LEG247
6400,28/08/2024,329.00,1,6945991655498,LEG263
6401,28/08/2024,329.00,1,6856165294154,LEG159
6402,28/08/2024,329.00,1,7378794774602,LEG-149-P
6402,28/08/2024,269.00,1,7378796511306,TOP-151-M
6403,28/08/2024,329.00,1,6946026618954,LEG255
6403,28/08/2024,269.00,1,6946026979402,TOP251
6404,28/08/2024,349.95,1,7588872061002,MOL-477-M
6404,28/08/2024,349.95,1,7588871274570,THE-473-M
6405,29/08/2024,359.00,1,7447759945802,LEG-385-M
6405,29/08/2024,269.00,1,6710315647050,TOP-PUR-JUN-M
6406,29/08/2024,269.00,1,7045786009674,sho-out-azul-m
6406,29/08/2024,269.00,1,6946026913866,TOP258
6406,29/08/2024,49.90,1,7414746611786,GHO-171-M
6407,29/08/2024,269.00,1,7505104175178,SHO-450-M
6407,29/08/2024,289.00,1,7545717030986,SHO-453-P
6408,29/08/2024,219.00,1,7420464267338,TAN-370-G
6409,29/08/2024,329.00,1,7378795659338,LEG-150-G
6409,29/08/2024,269.00,1,7378797330506,TOP-152-M
6410,29/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-P
6411,29/08/2024,279.90,1,6687222595658,LEG-HAR-PIN-P
6411,29/08/2024,179.90,1,6687222825034,TOP-HAR-PIN-P
6411,29/08/2024,289.00,1,7588858822730,COP-454-P
6411,29/08/2024,259.00,1,7588861444170,POL-458-P
6412,29/08/2024,269.00,1,7396015636554,TOP-156-M
6412,29/08/2024,329.00,1,7396014522442,LEG-154-M
6413,29/08/2024,269.00,1,7055137275978,top-pur-oce-p
6414,29/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-G
6414,29/08/2024,369.00,1,7331631693898,LEG-141-G
6415,29/08/2024,269.00,1,7459398156362,SHO-399-P
6415,29/08/2024,269.00,1,7459360538698,TOP-391-M
6415,29/08/2024,369.00,1,7338889445450,LEG-146-P
6416,29/08/2024,279.90,1,6687222628426,LEG-HAR-BLU-M
6416,29/08/2024,179.90,1,6687223218250,TOP-HAR-BLU-M
6416,29/08/2024,359.00,1,7396012818506,LEG-153-M
6416,29/08/2024,269.00,1,7397139841098,TOP-169-M
6417,29/08/2024,329.00,1,6892867682378,LEG185
6417,29/08/2024,269.00,1,6892867813450,TOP189
6418,30/08/2024,269.00,1,7001211666506,sho-sig-pre-g
6419,30/08/2024,329.00,1,6967004987466,LEG288
6419,30/08/2024,269.00,1,6967005184074,TOP283
6420,30/08/2024,329.00,1,6978390458442,LEG209
6420,30/08/2024,269.00,1,6978390491210,TOP205
6420,30/08/2024,269.00,1,6710315647050,TOP-PUR-JUN-M
6420,30/08/2024,329.00,1,6710315614282,LEG-PUR-JUN-P
6421,30/08/2024,269.00,1,7001212387402,top-sig-pre-p
6421,30/08/2024,329.00,1,7055529377866,leg-sig-pre-m
6421,30/08/2024,329.00,1,7378794774602,LEG-149-M
6421,30/08/2024,269.00,1,7378796511306,TOP-151-M
6421,30/08/2024,59.90,1,7223658512458,mei-clara-bran
6421,30/08/2024,59.90,1,7237760057418,MEI-122-U
6422,30/08/2024,269.00,1,7497517465674,TOP-438-M
6422,30/08/2024,269.00,1,7497516679242,SHO-437-P
6423,30/08/2024,229.00,1,7420468428874,BAB-378-M
6423,30/08/2024,349.95,1,7588866621514,MOL-463-M
6423,30/08/2024,349.95,1,7588870389834,THE-471-M
6424,30/08/2024,269.00,1,7505104011338,SHO-449-P
6424,30/08/2024,269.00,1,7378796511306,TOP-151-P
6425,30/08/2024,149.00,1,7492991582282,BON-418-U
6425,30/08/2024,329.00,1,6856165294154,LEG159
6425,30/08/2024,269.00,1,6856169390154,TOP155
6425,30/08/2024,219.00,1,6687221153866,TSH-ESS-BRA-P
6425,30/08/2024,59.90,1,7223658512458,mei-clara-bran
6426,30/08/2024,329.00,1,6946026848330,LEG272
6426,30/08/2024,269.00,1,6856169390154,TOP156
6427,30/08/2024,329.00,1,6710315614282,LEG-PUR-JUN-G
6428,30/08/2024,329.00,1,7497519497290,LEG-441-M
6428,30/08/2024,269.00,1,7497520414794,TOP-443-M
6428,30/08/2024,329.00,1,7055134130250,leg-pur-ale-m
6428,30/08/2024,269.00,1,7055138717770,top-pur-ale-m
6429,30/08/2024,329.00,1,6892867682378,LEG185
6429,30/08/2024,269.00,1,6892867813450,TOP188
6429,30/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-G
6429,30/08/2024,329.00,1,7396016586826,LEG-158-G
6429,30/08/2024,269.00,1,7396018257994,TOP-168-P
6430,30/08/2024,349.95,1,7588869603402,MOL-468-M
6430,30/08/2024,329.00,1,6892867682378,LEG186
